Diagnóstico principal (CIE10MC),Total Nacional,Comunidades y Ciudades Autónomas,Total
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,Extremadura,3448
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,Galicia,5684
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,"Madrid, comunidad de",6542
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,"Murcia, región de",4441
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,"Navarra, comunidad foral de",733
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,País vasco,2257
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,"Rioja, la",899
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,Ceuta,212
0702 Otras enfermedades del ojo y sus anexos Resto de (H00-H59),TOTAL NACIONAL,Melilla,89
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Andalucía,9283
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Aragón,2079
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Asturias, principado de",1209
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Balears, illes",1807
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Canarias,3694
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Cantabria,510
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Castilla y león,4452
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Castilla - la mancha,2528
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Cataluña,11944
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Comunitat valenciana,6380
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Extremadura,1589
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Galicia,4491
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Madrid, comunidad de",7651
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Murcia, región de",2642
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Navarra, comunidad foral de",672
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,País vasco,3268
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,"Rioja, la",533
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Ceuta,142
0800 ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES H60-H95,TOTAL NACIONAL,Melilla,93
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Andalucía,710337
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Aragón,173257
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Asturias, principado de",168023
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Balears, illes",135852
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Canarias,333671
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Cantabria,61388
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Castilla y león,305624
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Castilla - la mancha,190301
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Cataluña,1280644
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Comunitat valenciana,472538
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Extremadura,140655
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Galicia,354073
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Madrid, comunidad de",652817
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Murcia, región de",175079
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Navarra, comunidad foral de",63320
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,País vasco,246622
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,"Rioja, la",45558
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Ceuta,5576
0900 ENFERMEDADES DEL APARATO CIRCULATORIO I00-I99,TOTAL NACIONAL,Melilla,7660
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Andalucía,118264
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Aragón,24248
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Asturias, principado de",23760
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Balears, illes",20382
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Canarias,50209
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Cantabria,8602
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Castilla y león,53035
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Castilla - la mancha,27735
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Cataluña,141824
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Comunitat valenciana,50130
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Extremadura,12919
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Galicia,64485
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Madrid, comunidad de",130035
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Murcia, región de",27024
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Navarra, comunidad foral de",10298
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,País vasco,28945
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,"Rioja, la",9725
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Ceuta,1039
0901 Enfermedad hipertensiva I10-I15,TOTAL NACIONAL,Melilla,488
0902 Angina de pecho I20,TOTAL NACIONAL,Andalucía,12768
0902 Angina de pecho I20,TOTAL NACIONAL,Aragón,2724
0902 Angina de pecho I20,TOTAL NACIONAL,"Asturias, principado de",2741
0902 Angina de pecho I20,TOTAL NACIONAL,"Balears, illes",1506
0902 Angina de pecho I20,TOTAL NACIONAL,Canarias,2705
0902 Angina de pecho I20,TOTAL NACIONAL,Cantabria,849
0902 Angina de pecho I20,TOTAL NACIONAL,Castilla y león,2805
0902 Angina de pecho I20,TOTAL NACIONAL,Castilla - la mancha,3225
0902 Angina de pecho I20,TOTAL NACIONAL,Cataluña,11971
0902 Angina de pecho I20,TOTAL NACIONAL,Comunitat valenciana,8157
0902 Angina de pecho I20,TOTAL NACIONAL,Extremadura,1671
0902 Angina de pecho I20,TOTAL NACIONAL,Galicia,3960
0902 Angina de pecho I20,TOTAL NACIONAL,"Madrid, comunidad de",4275
0902 Angina de pecho I20,TOTAL NACIONAL,"Murcia, región de",3544
0902 Angina de pecho I20,TOTAL NACIONAL,"Navarra, comunidad foral de",763
0902 Angina de pecho I20,TOTAL NACIONAL,País vasco,2969
0902 Angina de pecho I20,TOTAL NACIONAL,"Rioja, la",161
0902 Angina de pecho I20,TOTAL NACIONAL,Ceuta,175
0902 Angina de pecho I20,TOTAL NACIONAL,Melilla,273
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Andalucía,71316
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Aragón,13168
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Asturias, principado de",9469
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Balears, illes",10429
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Canarias,22646
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Cantabria,5235
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Castilla y león,25143
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Castilla - la mancha,16025
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Cataluña,86798
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Comunitat valenciana,35722
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Extremadura,11546
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Galicia,27663
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Madrid, comunidad de",41961
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Murcia, región de",14723
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Navarra, comunidad foral de",5867
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,País vasco,15809
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,"Rioja, la",3254
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Ceuta,595
0903 Infarto agudo de miocardio I21-I22,TOTAL NACIONAL,Melilla,954
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Andalucía,44023
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Aragón,7193
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Asturias, principado de",7602
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Balears, illes",4226
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Canarias,17387
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Cantabria,3306
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Castilla y león,11702
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Castilla - la mancha,8560
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Cataluña,49361
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Comunitat valenciana,21689
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Extremadura,6342
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Galicia,16143
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Madrid, comunidad de",27225
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Murcia, región de",7916
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Navarra, comunidad foral de",3920
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,País vasco,11362
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,"Rioja, la",1661
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Ceuta,521
0904 Otras enfermedades isquémicas del corazón I23-I25,TOTAL NACIONAL,Melilla,703
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Andalucía,26335
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Aragón,6121
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Asturias, principado de",5842
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Balears, illes",4269
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Canarias,9313
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Cantabria,2753
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Castilla y león,15276
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Castilla - la mancha,8751
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Cataluña,38760
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Comunitat valenciana,16148
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Extremadura,6114
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Galicia,13761
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Madrid, comunidad de",24641
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Murcia, región de",3742
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Navarra, comunidad foral de",3084
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,País vasco,9320
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,"Rioja, la",2276
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Ceuta,184
0905 Enfermedad pulmonar cardíaca y enfermedades de la circulación pulmonar I26-I28,TOTAL NACIONAL,Melilla,127
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Andalucía,55282
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Aragón,14600
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Asturias, principado de",9438
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Balears, illes",12103
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Canarias,15966
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Cantabria,5982
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Castilla y león,22384
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Castilla - la mancha,14542
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Cataluña,74532
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Comunitat valenciana,33978
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Extremadura,10282
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Galicia,29354
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Madrid, comunidad de",42617
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Murcia, región de",14485
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Navarra, comunidad foral de",3829
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,País vasco,20725
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,"Rioja, la",3593
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Ceuta,290
0906 Trastornos de conducción y disritmias cardiacas I44-I49,TOTAL NACIONAL,Melilla,534
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Andalucía,71403
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Aragón,25688
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Asturias, principado de",21245
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Balears, illes",13410
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Canarias,56831
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Cantabria,7105
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Castilla y león,42126
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Castilla - la mancha,30518
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Cataluña,220614
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Comunitat valenciana,58856
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Extremadura,24350
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Galicia,47835
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Madrid, comunidad de",62551
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Murcia, región de",18037
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Navarra, comunidad foral de",3757
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,País vasco,29601
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,"Rioja, la",3763
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Ceuta,190
0907 Insuficiencia cardiaca I50,TOTAL NACIONAL,Melilla,1123
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Andalucía,177619
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Aragón,45930
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Asturias, principado de",52186
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Balears, illes",47736
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Canarias,101987
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Cantabria,13430
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Castilla y león,77098
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Castilla - la mancha,46909
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Cataluña,418755
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Comunitat valenciana,162485
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Extremadura,41685
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Galicia,72403
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Madrid, comunidad de",194755
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Murcia, región de",57642
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Navarra, comunidad foral de",14614
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,País vasco,74938
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,"Rioja, la",13724
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Ceuta,1550
0908 Enfermedades cerebrovasculares I60-I69,TOTAL NACIONAL,Melilla,1515
0909 Aterosclerosis I70,TOTAL NACIONAL,Andalucía,29781
0909 Aterosclerosis I70,TOTAL NACIONAL,Aragón,7088
0909 Aterosclerosis I70,TOTAL NACIONAL,"Asturias, principado de",8082
0909 Aterosclerosis I70,TOTAL NACIONAL,"Balears, illes",3608
0909 Aterosclerosis I70,TOTAL NACIONAL,Canarias,11937
0909 Aterosclerosis I70,TOTAL NACIONAL,Cantabria,3379
0909 Aterosclerosis I70,TOTAL NACIONAL,Castilla y león,13612
0909 Aterosclerosis I70,TOTAL NACIONAL,Castilla - la mancha,6408
0909 Aterosclerosis I70,TOTAL NACIONAL,Cataluña,77775
0909 Aterosclerosis I70,TOTAL NACIONAL,Comunitat valenciana,15345
0909 Aterosclerosis I70,TOTAL NACIONAL,Extremadura,5085
0909 Aterosclerosis I70,TOTAL NACIONAL,Galicia,18793
0909 Aterosclerosis I70,TOTAL NACIONAL,"Madrid, comunidad de",21087
0909 Aterosclerosis I70,TOTAL NACIONAL,"Murcia, región de",4013
0909 Aterosclerosis I70,TOTAL NACIONAL,"Navarra, comunidad foral de",5951
0909 Aterosclerosis I70,TOTAL NACIONAL,País vasco,14053
0909 Aterosclerosis I70,TOTAL NACIONAL,"Rioja, la",1024
0909 Aterosclerosis I70,TOTAL NACIONAL,Ceuta,229
0909 Aterosclerosis I70,TOTAL NACIONAL,Melilla,258
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Andalucía,2416
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Aragón,883
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Asturias, principado de",1164
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Balears, illes",1407
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Canarias,1161
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Cantabria,125
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Castilla y león,2396
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Castilla - la mancha,213
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Cataluña,9791
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Comunitat valenciana,1291
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Extremadura,370
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Galicia,2215
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Madrid, comunidad de",2467
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Murcia, región de",865
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Navarra, comunidad foral de",144
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,País vasco,1341
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,"Rioja, la",489
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Ceuta,8
0910 Venas varicosas de las extremidades inferiores I83,TOTAL NACIONAL,Melilla,28
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Andalucía,101132
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Aragón,25615
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Asturias, principado de",26496
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Balears, illes",16774
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Canarias,43530
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Cantabria,10622
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Castilla y león,40049
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Castilla - la mancha,27416
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Cataluña,150463
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Comunitat valenciana,68738
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Extremadura,20290
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Galicia,57461
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Madrid, comunidad de",101205
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Murcia, región de",23088
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Navarra, comunidad foral de",11094
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,País vasco,37562
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,"Rioja, la",5887
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Ceuta,796
0911 Otras enfermedades del aparato circulatorio Resto de (I00-I99),TOTAL NACIONAL,Melilla,1658
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Andalucía,484138
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Aragón,132900
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Asturias, principado de",129347
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Balears, illes",111147
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Canarias,255711
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Cantabria,44177
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Castilla y león,284367
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Castilla - la mancha,191935
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Cataluña,833286
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Comunitat valenciana,354354
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Extremadura,109128
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Galicia,339937
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Madrid, comunidad de",632649
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Murcia, región de",141040
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Navarra, comunidad foral de",47646
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,País vasco,182501
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,"Rioja, la",34185
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Ceuta,4647
1000 ENFERMEDADES DEL APARATO RESPIRATORIO J00-J99,TOTAL NACIONAL,Melilla,5795
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,Andalucía,28754
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,Aragón,8297
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,"Asturias, principado de",9228
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,"Balears, illes",9086
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,Canarias,14277
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,Cantabria,4069
1001 Infecciones agudas de las vías respiratorias superiores y gripe J00-J11,TOTAL NACIONAL,Castilla y león,19332
